epoch,symbol,price
1759195182,R_10,5870.765
1759195184,R_10,5870.923
1759195186,R_10,5871.241
1759195188,R_10,5871.449
1759195190,R_10,5871.625
1759195192,R_10,5871.783
1759195194,R_10,5871.436
1759195196,R_10,5871.481
1759195198,R_10,5871.563
1759195200,R_10,5871.493
1759195202,R_10,5871.392
1759195204,R_10,5871.387
1759195206,R_10,5871.203
1759195208,R_10,5871.187
1759195210,R_10,5871.361
1759195212,R_10,5871.508
1759195214,R_10,5871.361
1759195216,R_10,5871.289
1759195218,R_10,5871.395
1759195220,R_10,5871.398
1759195222,R_10,5871.36
1759195224,R_10,5871.363
1759195226,R_10,5871.287
1759195228,R_10,5871.354
1759195230,R_10,5871.517
1759195232,R_10,5871.374
1759195234,R_10,5871.519
1759195236,R_10,5871.435
1759195238,R_10,5871.437
1759195240,R_10,5871.323
1759195242,R_10,5871.423
1759195244,R_10,5871.527
1759195246,R_10,5871.367
1759195248,R_10,5871.214
1759195250,R_10,5871.198
1759195252,R_10,5871.354
1759195254,R_10,5871.363
1759195256,R_10,5871.224
1759195258,R_10,5871.022
1759195260,R_10,5871.03
1759195262,R_10,5870.816
1759195264,R_10,5870.793
1759195266,R_10,5870.725
1759195268,R_10,5870.492
1759195270,R_10,5870.371
1759195272,R_10,5870.22
1759195274,R_10,5870.18
1759195276,R_10,5870.168
1759195278,R_10,5870.44
1759195280,R_10,5870.246
1759195282,R_10,5870.099
1759195284,R_10,5870.043
1759195286,R_10,5870.302
1759195288,R_10,5870.155
1759195290,R_10,5870.334
1759195292,R_10,5870.281
1759195294,R_10,5870.243
1759195296,R_10,5870.559
1759195298,R_10,5870.196
1759195300,R_10,5870.265
1759195302,R_10,5870.24
1759195304,R_10,5870.199
1759195306,R_10,5870.445
1759195308,R_10,5870.464
1759195310,R_10,5870.81
1759195312,R_10,5870.71
1759195314,R_10,5870.697
1759195316,R_10,5870.901
1759195318,R_10,5871.241
1759195320,R_10,5871.286
1759195322,R_10,5871.265
1759195324,R_10,5871.495
1759195326,R_10,5871.477
1759195328,R_10,5871.464
1759195330,R_10,5871.375
1759195332,R_10,5871.317
1759195334,R_10,5871.456
1759195336,R_10,5871.373
1759195338,R_10,5871.287
1759195340,R_10,5871.394
1759195342,R_10,5871.475
1759195344,R_10,5871.562
1759195346,R_10,5871.493
1759195348,R_10,5871.61
1759195350,R_10,5871.398
1759195352,R_10,5871.603
1759195354,R_10,5871.648
1759195356,R_10,5871.694
1759195358,R_10,5871.722
1759195360,R_10,5871.907
1759195362,R_10,5871.904
1759195364,R_10,5871.845
1759195366,R_10,5872.087
