epoch,symbol,price
1768527768,R_100,1048.56
1768527770,R_100,1048.61
1768527772,R_100,1048.38
1768527774,R_100,1048.41
1768527776,R_100,1048.46
1768527778,R_100,1047.94
1768527780,R_100,1047.7
1768527782,R_100,1047.59
1768527784,R_100,1047.38
1768527786,R_100,1047.72
1768527788,R_100,1047.48
1768527790,R_100,1047.69
1768527792,R_100,1047.74
1768527794,R_100,1047.48
1768527796,R_100,1047.19
1768527798,R_100,1046.8
1768527800,R_100,1046.63
1768527802,R_100,1046.4
1768527804,R_100,1046.44
1768527806,R_100,1046.11
1768527808,R_100,1045.76
1768527810,R_100,1045.82
1768527812,R_100,1045.52
1768527814,R_100,1045.63
1768527816,R_100,1046.06
1768527818,R_100,1045.75
1768527820,R_100,1045.81
1768527822,R_100,1045.51
1768527824,R_100,1045.38
1768527826,R_100,1045.39
1768527828,R_100,1045.81
1768527830,R_100,1045.7
1768527832,R_100,1045.37
1768527834,R_100,1045.08
1768527836,R_100,1044.61
1768527838,R_100,1044.32
1768527840,R_100,1044.28
1768527842,R_100,1044.09
1768527844,R_100,1044.3
1768527846,R_100,1044.19
1768527848,R_100,1043.68
1768527850,R_100,1043.79
1768527852,R_100,1044.05
1768527854,R_100,1043.83
1768527856,R_100,1043.87
1768527858,R_100,1043.81
1768527860,R_100,1043.36
1768527862,R_100,1043.13
1768527864,R_100,1043.03
1768527866,R_100,1042.86
1768527868,R_100,1043.01
1768527870,R_100,1042.61
1768527872,R_100,1042.45
1768527874,R_100,1042.52
1768527876,R_100,1042.61
1768527878,R_100,1042.42
1768527880,R_100,1042.42
1768527882,R_100,1042.52
1768527884,R_100,1042.26
1768527886,R_100,1042.26
1768527888,R_100,1042.2
1768527890,R_100,1042.55
1768527892,R_100,1042.65
1768527894,R_100,1042.59
1768527896,R_100,1042.65
1768527898,R_100,1042.32
1768527900,R_100,1041.86
1768527902,R_100,1041.56
1768527904,R_100,1041.38
1768527906,R_100,1041.34
1768527908,R_100,1041.61
1768527910,R_100,1041.79
1768527912,R_100,1042.12
1768527914,R_100,1042.07
1768527916,R_100,1042.12
1768527918,R_100,1041.83
1768527920,R_100,1041.58
1768527922,R_100,1041.8
1768527924,R_100,1041.6
1768527926,R_100,1041.87
1768527928,R_100,1041.62
1768527930,R_100,1041.51
1768527932,R_100,1041.66
1768527934,R_100,1041.77
1768527936,R_100,1042.11
1768527938,R_100,1041.56
1768527940,R_100,1041.67
1768527942,R_100,1041.12
1768527944,R_100,1041.3
1768527946,R_100,1041.65
1768527948,R_100,1042.06
1768527950,R_100,1042.49
1768527952,R_100,1042.65
1768527954,R_100,1042.78
1768527956,R_100,1043.25
1768527958,R_100,1042.97
1768527960,R_100,1043.38
1768527962,R_100,1043.07
1768527964,R_100,1043.21
1768527966,R_100,1043.03
1768527968,R_100,1043.2
1768527970,R_100,1042.71
1768527972,R_100,1042.96
1768527974,R_100,1043.09
